tick,avg_hydrolytic_resistance,pct_blocks_in_assemblies
111300,0.527126,0.00
111400,0.548085,0.00
111500,0.557022,0.00
111600,0.545655,0.00
111700,0.552977,0.00
111800,0.559640,0.00
111900,0.544571,0.00
112000,0.549333,0.00
112100,0.560823,0.00
112200,0.546161,0.00
112300,0.531009,0.00
112400,0.546841,0.00
112500,0.533543,0.00
112600,0.539842,0.00
112700,0.534666,0.00
112800,0.536975,0.00
112900,0.532082,0.00
113000,0.540598,0.00
113100,0.536489,0.00
113200,0.539831,0.00
113300,0.558610,0.00
113400,0.527620,0.00
113500,0.543163,0.00
113600,0.542533,0.00
113700,0.548825,0.00
113800,0.546755,0.00
113900,0.550849,0.00
114000,0.548975,0.00
114100,0.555335,0.00
114200,0.578497,0.00
114300,0.557146,0.00
114400,0.550187,0.00
114500,0.556058,0.00
114600,0.536788,0.00
114700,0.555077,0.00
114800,0.552473,0.00
114900,0.532560,3.80
115000,0.536151,3.98
115100,0.549256,3.42
115200,0.540643,2.33
115300,0.541080,0.00
115400,0.541520,0.00
115500,0.520630,0.00
115600,0.532911,0.00
